customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,signup_date,churn,internal_flag
17267,female,0.0,No,Yes,41.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,53.77,848.51,2024-08-02,No,A
9242,Female,0.0,Yes,No,27.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,84.76,6916.82,2022-07-15,No,A
19107,Male,1.0,Yes,Yes,36.0,Yes,Yes,DSL,No,Y,No internet service,No,No,Yes,Month-to-month,Y,Mailed check,28.61,1099.85,2024-07-17,No,A
8986,Female,0.0,No,No,1.0,N,N,No,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,119.07,6943.98,2024-06-04,No,A
2867,Male,0.0,No,Yes,20.0,Yes,Yes,fiber,No,Yes,No internet service,No,N,Yes,Month-to-month,No,Electronic check,108.74,5279.77,2023-04-30,No,A
3302,Female,1.0,No,No,42.0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month to month,Yes,Credit card,55.79,605.88,2022-03-02,No,A
20661,female,0.0,No,Yes,20.0,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,Y,No,One Year,Yes,e-check,110.69,2376.13,2024-11-22,No,A
10234,Female,0.0,No,No,34.0,Yes,N,Fiber optic,Y,No,Yes,No,No,Yes,One year,Yes,E-check,77.83,1405.22,2021-01-01,No,A
17456,female,0.0,Y,No,61.0,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card,93.42,6018.92,2023-06-02,No,A
9474,Male,1.0,No,Yes,71.0,Yes,Y,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,70.26,6337.0,2023-06-29,No,A
15781,F,0.0,Yes,Yes,66.0,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.72,6466.08,2024-11-06,No,A
1829,Female,0.0,No,No,17.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Credit card,77.71,6959.68,2020-06-14,No,A
